f,p,Pwr,b2mo_ar,b2mo_ne,b2mo_he
60.0,2,192.0,0.576839792282986,0.969974866619611,3.9218238234439
60.0,2,193.0,0.575643263753306,0.97073285044141,3.91260525491743
60.0,2,194.0,0.574461162750471,0.971483969254864,3.90346958188153
60.0,2,195.0,0.573293215956997,0.972228319668486,3.89441558272536
60.0,2,196.0,0.572139157026322,0.97296599643814,3.88544206130619
60.0,2,197.0,0.570998726366237,0.973697092508723,3.87654784625446
60.0,2,198.0,0.569871670927203,0.974421699058321,3.86773179030177
60.0,2,199.0,0.56875774400027,0.975139905540949,3.85899276963206
60.0,2,200.0,0.567656705025125,0.975851799728116,3.85032968325397
60.0,2,201.0,0.566568176025044,0.976557467747893,3.8417414523945
60.0,2,202.0,0.565492219087203,0.97725699412691,3.83322701991305
60.0,2,203.0,0.564428462723539,0.977950461822688,3.82478534973196
60.0,2,204.0,0.563376689018816,0.978637952262194,3.81641542629183
60.0,2,205.0,0.562336685304008,0.979319545384478,3.80811625401631
60.0,2,206.0,0.561308243998125,0.979995319664923,3.79988685680067
60.0,2,207.0,0.560291162455956,0.980665352155719,3.79172627751301
60.0,2,208.0,0.559285242821078,0.981329718512854,3.7836335775132
60.0,2,209.0,0.558290291884317,0.981988527286216,3.77560783618663
60.0,2,210.0,0.557306120946976,0.9826417814866,3.76764815049067
60.0,2,211.0,0.556332545689053,0.983289588549603,3.75975363451881
60.0,2,212.0,0.555369386042033,0.983932018871799,3.75192341907496
60.0,2,213.0,0.554416466066094,0.984569141608412,3.74415665126273
60.0,2,214.0,0.553473613831498,0.985201024700434,3.73645249408646
60.0,2,215.0,0.552540661304207,0.985827734901977,3.72881012606479
60.0,2,216.0,0.551617444235269,0.986449337806308,3.72122874085504
60.0,2,217.0,0.550703802054042,0.987065897871432,3.7137075468925
60.0,2,218.0,0.549799577762907,0.987677478445043,3.70624576703133
60.0,2,219.0,0.548904617848023,0.988284141788113,3.69884263820881
60.0,2,220.0,0.548018772161971,0.988885949101269,3.69149741110921
60.0,2,221.0,0.547141893851548,0.98948296054217,3.68420934984223
60.0,2,222.0,0.546273839257136,0.990075235253466,3.67697773163018
60.0,2,223.0,0.545414467827735,0.990662831381662,3.66980184650251
60.0,2,224.0,0.54456364203656,0.991245806099317,3.66268099700206
60.0,2,225.0,0.543721227299558,0.991824215624922,3.65561449789691
60.0,2,226.0,0.542887091896446,0.992398115243834,3.64860167590225
60.0,2,227.0,0.542061106894288,0.992967559327445,3.64164186940878
60.0,2,228.0,0.541243146073645,0.993532601352459,3.6347344282207
60.0,2,229.0,0.540433085856861,0.994093293919505,3.62787871329803
60.0,2,230.0,0.539630805238764,0.994649688771633,3.62107409650927
60.0,2,231.0,0.538836185719498,0.995201836810427,3.61431996038854
60.0,2,232.0,0.538049111239406,0.99574978811646,3.60761569790077
60.0,2,233.0,0.537269487218937,0.996293591963009,3.6009607122125
60.0,2,234.0,0.536497162809619,0.996833296833989,3.59435441647283
60.0,2,235.0,0.535732049348886,0.997368950439719,3.5877962335802
60.0,2,236.0,0.534974039924587,0.997900599732329,3.58128559600405
60.0,2,237.0,0.534223029775823,0.998428290922146,3.57482194554773
60.0,2,238.0,0.533478916228895,0.998952069490193,3.56840473316324
60.0,2,239.0,0.532741598652431,0.999471980205182,3.56203341875917
60.0,2,240.0,0.532010978411532,0.999988067136378,3.55570747100078
60.0,2,241.0,0.531286958843237,1.00050037366772,3.54942636713621
60.0,2,242.0,0.530569445396388,1.00100894251132,3.54318959281159
60.0,2,243.0,0.529858333376875,1.00151381572064,3.53699664189736
60.0,2,244.0,0.529153562846637,1.00201503470333,3.53084701631744
60.0,2,245.0,0.528455011697619,1.00251264023382,3.52474022588353
60.0,2,246.0,0.527762609298318,1.00300667246554,3.51867578813328
60.0,2,247.0,0.527076266038328,1.00349717094305,3.51265322817165
60.0,2,248.0,0.526395900173164,1.00398417461349,3.50667207852129
60.0,2,249.0,0.525721408263278,1.00446772183826,3.50073187896459
60.0,2,250.0,0.525052743908516,1.004947850404,3.49483217640482
70.0,2,150.0,0.279101412507141,0.784081274416964,4.66803094023323
70.0,2,151.0,0.281482943280035,0.786531106156141,4.64772066939246
70.0,2,152.0,0.283858927137906,0.788959120023517,4.62781625236528
70.0,2,153.0,0.286229330894545,0.791365579802149,4.60830639432614
70.0,2,154.0,0.288594122511308,0.793750745050063,4.58918020248884
70.0,2,155.0,0.290953271075147,0.796114871199924,4.5704271654377
70.0,2,156.0,0.293306746777195,0.798458209652507,4.55203713938833
70.0,2,157.0,0.29565452089182,0.800781007868153,4.53400033225674
70.0,2,158.0,0.297996565755362,0.803083509454529,4.51630728705976
70.0,2,159.0,0.300332854746067,0.805365954251491,4.49894887202215
70.0,2,160.0,0.302663364077121,0.807628578413546,4.48191625914434
70.0,2,161.0,0.304988063710283,0.809871614481793,4.46520092355817
70.0,2,162.0,0.307306935469403,0.812095291493267,4.44879462081932
70.0,2,163.0,0.30961995488837,0.814299834991524,4.43268938056691
70.0,2,164.0,0.311927100258383,0.816485467160977,4.41687749369619
70.0,2,165.0,0.314228350796455,0.818652406865925,4.40135150385849
