ppl,ub_ar,ub_ne,ub_he,urf_ar,urf_ne,urf_he,d1h_b_ar,d1h_b_ne,d1h_b_he,s_ar,s_ne,s_he
155.0,-289.94300353124396,-268.8513965789545,-280.5822156159742,334.11907987974,331.349497839006,350.71603590471,9.920875252310882,17.651131249656103,5.26913045636623,-0.0856473015486691,0.294628310962946,0.77658074043359
156.0,-291.092104220086,-270.050434334437,-281.9108261292878,335.364103962154,332.636233217796,352.132216306259,10.035790121243434,17.80326725763127,5.294378449839144,-0.0823686500585946,0.295650405496356,0.776064562980298
157.0,-292.2375857805389,-271.2457073065758,-283.23532486936506,336.605244625078,333.919015977107,353.544151516781,10.150885780653677,17.95511215353968,5.319533271927089,-0.0791231453912175,0.296659218658355,0.775555387947321
158.0,-293.3794822606833,-272.4372506474273,-284.5557496202781,337.842538130412,335.197882371346,354.951879490446,10.266156923322193,18.106664087925886,5.344595950022006,-0.0759103476970871,0.297654993277016,0.775053087893055
159.0,-294.5178271779239,-273.62509896592087,-285.8721375913458,339.076020178644,336.472868103953,356.355437619233,10.381598328141928,18.2579213191716,5.3695674932054995,-0.072729823825213,0.298637966461198,0.774557538169216
160.0,-295.65265353049676,-274.80928633952976,-287.1845254293029,340.305725920945,337.744008339053,357.754862744524,10.497204858864219,18.408882210409153,5.394448892694314,-0.0695811472225065,0.299608369779741,0.774068616851436
161.0,-296.7839938086572,-275.9898463256225,-288.4929492301391,341.531689970932,339.011337712788,359.150191168384,10.612971462824666,18.55954522593285,5.41924112220845,-0.066463897833686,0.3005664294178,0.77358620467594
162.0,-297.9118800055599,-277.16681197250404,-289.7974445506215,342.753946416111,340.274890344357,360.541458664551,10.728893169721445,18.709908927792288,5.443945138497355,-0.0633776620024817,0.301512366330065,0.773110184968844
163.0,-299.03634362784084,-278.34021583015755,-291.0980464195061,343.972528829007,341.534699846745,361.928700489138,10.84496509038739,18.859971972561915,5.468561881625192,-0.0603220323741914,0.302446396390041,0.772640443588658
164.0,-300.1574157059112,-279.5100899606969,-292.3947893484528,345.187470277995,342.79079933718,363.311951391057,10.961182415552175,19.009733108131517,5.493092275416556,-0.0572966077960818,0.303368730532541,0.772176868862091
